mc_id,location_id,version,geometry,events,pure_class,mixed_dominant_class,mixed_second_dominant_class,s2_l2_bands,era5,cci_landcover_map,copernicus_dem,de_africa_climatology,event_arrays,s2cloudless_cloudmask,sen2cor_cloudmask,unetmobv2_cloudmask,earthnet_cloudmask,remarks,continent
mc_-123.27_40.04_1.3_20230910_0,-123.27_40.04,1.3,"POLYGON ((-123.2867242143583 40.03083947948718, -123.25493749688746 40.03083947948718, -123.25493749688746 40.05527027548586, -123.2867242143583 40.05527027548586, -123.2867242143583 40.03083947948718))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.28_39.82_1.3_20230910_0,-123.28_39.82,1.3,"POLYGON ((-123.29777734604922 39.805843680203694, -123.26610664241946 39.805843680203694, -123.26610664241946 39.83026608703505, -123.29777734604922 39.83026608703505, -123.29777734604922 39.805843680203694))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.27_50.59_1.3_20230910_0,-123.27_50.59,1.3,"POLYGON ((-123.28743763198544 50.57515711073821, -123.24866484660939 50.57515711073821, -123.24866484660939 50.59984079043114, -123.28743763198544 50.59984079043114, -123.28743763198544 50.57515711073821))","[(20651, '2019-07-22', '2019-07-26')]",-,mixedtree,broadtree,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.36_39.43_1.3_20230910_0,-123.36_39.43,1.3,"POLYGON ((-123.3782249869953 39.414190888998874, -123.34677020465087 39.414190888998874, -123.34677020465087 39.43858555959528, -123.3782249869953 39.43858555959528, -123.3782249869953 39.414190888998874))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.35_50.59_1.3_20230910_0,-123.35_50.59,1.3,"POLYGON ((-123.36519896668935 50.57516756737026, -123.32645904717954 50.57516756737026, -123.32645904717954 50.59983032386037, -123.36519896668935 50.59983032386037, -123.36519896668935 50.57516756737026))","[(10854, '2017-08-08', '2017-08-13')]",-,needletree,mixedtree,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.38_39.26_1.3_20230910_0,-123.38_39.26,1.3,"POLYGON ((-123.39762618671648 39.24752850652913, -123.36625793291125 39.24752850652913, -123.36625793291125 39.2719146165124, -123.39762618671648 39.2719146165124, -123.39762618671648 39.24752850652913))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.38_50.46_1.3_20230910_0,-123.38_50.46,1.3,"POLYGON ((-123.39569336825213 50.447395234896256, -123.35707582614086 50.447395234896256, -123.35707582614086 50.47204710317768, -123.39569336825213 50.47204710317768, -123.39569336825213 50.447395234896256))","[(29495, '2020-07-27', '2020-08-02')]",-,needletree,mixedtree,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.39_58.58_1.3_20230910_0,-123.39_58.58,1.3,"POLYGON ((-123.41679165053014 58.56954350715662, -123.36930531009087 58.56954350715662, -123.36930531009087 58.594342448701816, -123.41679165053014 58.594342448701816, -123.41679165053014 58.56954350715662))","[(19366, '2019-05-26', '2019-05-30')]",-,broadtree,needletree,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.39_66.59_1.3_20230910_0,-123.39_66.59,1.3,"POLYGON ((-123.41881424092745 66.5805951523925, -123.3561595624962 66.5805951523925, -123.3561595624962 66.6055117629092, -123.41881424092745 66.6055117629092, -123.41881424092745 66.5805951523925))",[],-,needletree,broadtree,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.43_58.58_1.3_20230910_0,-123.43_58.58,1.3,"POLYGON ((-123.4584462709943 58.56954979033043, -123.41098400555883 58.56954979033043, -123.41098400555883 58.59433615910255, -123.4584462709943 58.59433615910255, -123.4584462709943 58.56954979033043))","[(19366, '2019-05-26', '2019-05-30')]",-,needletree,mixedtree,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.42_50.95_1.3_20230910_0,-123.42_50.95,1.3,"POLYGON ((-123.44034084270208 50.93906282298233, -123.40131698572554 50.93906282298233, -123.40131698572554 50.963712807713016, -123.44034084270208 50.963712807713016, -123.44034084270208 50.93906282298233))","[(15166, '2018-08-07', '2018-08-12')]",-,soil,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.46_40.11_1.3_20230910_0,-123.46_40.11,1.3,"POLYGON ((-123.47838113949253 40.10030393096561, -123.44661388121888 40.10030393096561, -123.44661388121888 40.124694688187766, -123.47838113949253 40.124694688187766, -123.47838113949253 40.10030393096561))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.47_50.84_1.3_20230910_0,-123.47_50.84,1.3,"POLYGON ((-123.4875032437285 50.82518149854411, -123.44859909902004 50.82518149854411, -123.44859909902004 50.84981635582036, -123.4875032437285 50.84981635582036, -123.4875032437285 50.82518149854411))","[(15166, '2018-08-07', '2018-08-12')]",-,needletree,soil,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.46_66.57_1.3_20230910_0,-123.46_66.57,1.3,"POLYGON ((-123.49098190787045 66.56116263467167, -123.42843637182048 66.56116263467167, -123.42843637182048 66.58605538130662, -123.49098190787045 66.58605538130662, -123.49098190787045 66.56116263467167))",[],-,needletree,mixedtree,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.48_39.97_1.3_20230910_0,-123.48_39.97,1.3,"POLYGON ((-123.49223180060552 39.95586285151973, -123.46054103323769 39.95586285151973, -123.46054103323769 39.98024688596019, -123.49223180060552 39.98024688596019, -123.49223180060552 39.95586285151973))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.52_39.56_1.3_20230910_0,-123.52_39.56,1.3,"POLYGON ((-123.53656889850227 39.547539564350494, -123.50509292249768 39.547539564350494, -123.50509292249768 39.57190352616866, -123.53656889850227 39.57190352616866, -123.53656889850227 39.547539564350494))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.52_39.71_1.3_20230910_0,-123.52_39.71,1.3,"POLYGON ((-123.53382771242298 39.69475960969103, -123.50227851740632 39.69475960969103, -123.50227851740632 39.71912791677896, -123.53382771242298 39.71912791677896, -123.53382771242298 39.69475960969103))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.53_39.15_1.3_20230910_0,-123.53_39.15,1.3,"POLYGON ((-123.55035543958077 39.13365746262189, -123.51908425759461 39.13365746262189, -123.51908425759461 39.158007873188005, -123.55035543958077 39.158007873188005, -123.55035543958077 39.13365746262189))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.52_66.44_1.3_20230910_0,-123.52_66.44,1.3,"POLYGON ((-123.55189530403976 66.42506236181701, -123.4897454979614 66.42506236181701, -123.4897454979614 66.4499334479164, -123.55189530403976 66.4499334479164, -123.55189530403976 66.42506236181701))",[],-,needletree,broadtree,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.54_39.78_1.3_20230910_0,-123.54_39.78,1.3,"POLYGON ((-123.55328726268284 39.76698303119543, -123.52170783776906 39.76698303119543, -123.52170783776906 39.79134893332114, -123.55328726268284 39.79134893332114, -123.55328726268284 39.76698303119543))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.59_40.09_1.3_20230910_0,-123.59_40.09,1.3,"POLYGON ((-123.6033583727503 40.080873452526646, -123.57163664859915 40.080873452526646, -123.57163664859915 40.1052362655178, -123.6033583727503 40.1052362655178, -123.6033583727503 40.080873452526646))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.58_50.83_1.3_20230910_0,-123.58_50.83,1.3,"POLYGON ((-123.6013664776669 50.82241921311582, -123.56251361971758 50.82241921311582, -123.56251361971758 50.847023066855584, -123.6013664776669 50.847023066855584, -123.6013664776669 50.82241921311582))","[(10854, '2017-08-08', '2017-08-13')]",-,soil,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.60_50.96_1.3_20230910_0,-123.60_50.96,1.3,"POLYGON ((-123.62363953422334 50.95019875882667, -123.58468495762715 50.95019875882667, -123.58468495762715 50.974799067304325, -123.62363953422334 50.974799067304325, -123.62363953422334 50.95019875882667))","[(10854, '2017-08-08', '2017-08-13')]",-,soil,needletree,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.63_50.71_1.3_20230910_0,-123.63_50.71,1.3,"POLYGON ((-123.64574857349567 50.70020424285018, -123.60702048216768 50.70020424285018, -123.60702048216768 50.724793601873756, -123.64574857349567 50.724793601873756, -123.64574857349567 50.70020424285018))","[(37690, '2021-07-29', '2021-08-02')]",-,needletree,mixedtree,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
mc_-123.65_40.22_1.3_20230910_0,-123.65_40.22,1.3,"POLYGON ((-123.66171475884579 40.205878338634214, -123.62994689600211 40.205878338634214, -123.62994689600211 40.23023136557373, -123.66171475884579 40.23023136557373, -123.66171475884579 40.205878338634214))",[],-,needletree,grassland,1.4,1,2.2,2,-1,2.1,-1.0,-1,-1,1.1,,North_America
