,mc_id,path,location_id,version,geometry,creation_date,modification_date,events,s2_l2_bands,era5,cci_landcover_map,copernicus_dem,de_africa_climatology,event_arrays,s2cloudless_cloudmask,sen2cor_cloudmask,unetmobv2_cloudmask,earthnet_cloudmask,remarks
8788,mc_24.66_-8.87_1.1_20230611_0,deepextremes-minicubes/1.1/mc_24.66_-8.87_1.1_20230611_0.zarr,24.66_-8.87,1.1,"POLYGON ((24.650768244304714 -8.882501348280112, 24.674232479234583 -8.882501348280112, 24.674232479234583 -8.859165251663299, 24.650768244304714 -8.859165251663299, 24.650768244304714 -8.882501348280112))",2023-06-08 05:15:41,2023-06-21 10:25:29,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
8834,mc_25.63_67.58_1.1_20230611_0,deepextremes-minicubes/1.1/mc_25.63_67.58_1.1_20230611_0.zarr,25.63_67.58,1.1,"POLYGON ((25.59974280158473 67.56408568247491, 25.66417488221576 67.56408568247491, 25.66417488221576 67.58868748196531, 25.59974280158473 67.58868748196531, 25.59974280158473 67.56408568247491))",2023-06-08 05:53:54,2023-06-21 13:27:24,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
8878,mc_27.12_-9.12_1.1_20230611_0,deepextremes-minicubes/1.1/mc_27.12_-9.12_1.1_20230611_0.zarr,27.12_-9.12,1.1,"POLYGON ((27.106276521720726 -9.132540274402071, 27.129835323241974 -9.132540274402071, 27.129835323241974 -9.109126517856673, 27.106276521720726 -9.109126517856673, 27.106276521720726 -9.132540274402071))",2023-06-08 06:33:33,2023-06-21 17:34:00,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
8882,mc_27.16_67.83_1.1_20230611_0,deepextremes-minicubes/1.1/mc_27.16_67.83_1.1_20230611_0.zarr,27.16_67.83,1.1,"POLYGON ((27.126501560697683 67.8138312175547, 27.19297205195344 67.8138312175547, 27.19297205195344 67.83894221016581, 27.126501560697683 67.83894221016581, 27.126501560697683 67.8138312175547))",2023-06-08 06:36:39,2023-06-21 17:52:19,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
8949,mc_32.88_-5.75_1.1_20230611_0,deepextremes-minicubes/1.1/mc_32.88_-5.75_1.1_20230611_0.zarr,32.88_-5.75,1.1,"POLYGON ((32.86477091964757 -5.760248126954335, 32.888007315631924 -5.760248126954335, 32.888007315631924 -5.736974338003621, 32.86477091964757 -5.736974338003621, 32.86477091964757 -5.760248126954335))",2023-06-08 07:30:52,2023-06-21 23:30:03,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
8968,mc_34.29_9.87_1.1_20230611_0,deepextremes-minicubes/1.1/mc_34.29_9.87_1.1_20230611_0.zarr,34.29_9.87,1.1,"POLYGON ((34.2756668589321 9.856320928368547, 34.299333930197335 9.856320928368547, 34.299333930197335 9.879790374063807, 34.2756668589321 9.879790374063807, 34.2756668589321 9.856320928368547))",2023-06-08 07:45:05,2023-06-22 00:57:52,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
9125,mc_39.50_27.75_1.1_20230602_0,deepextremes-minicubes/1.1/mc_39.50_27.75_1.1_20230602_0.zarr,39.50_27.75,1.1,"POLYGON ((39.485023438586765 27.73652105448132, 39.512201455114365 27.73652105448132, 39.512201455114365 27.76070053085477, 39.485023438586765 27.76070053085477, 39.485023438586765 27.73652105448132))",2023-05-06 17:34:42,2023-06-22 14:19:08,"[(10422, '2017-07-31T00:00:00.0', '2017-08-18T00:00:00.0')]",1.0,1.0,2.0,2.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,
9128,mc_39.56_38.06_1.1_20230611_0,deepextremes-minicubes/1.1/mc_39.56_38.06_1.1_20230611_0.zarr,39.56_38.06,1.1,"POLYGON ((39.54420110154206 38.050226226029935, 39.575247805260304 38.050226226029935, 39.575247805260304 38.07477262026949, 39.54420110154206 38.07477262026949, 39.54420110154206 38.050226226029935))",2023-06-08 09:44:48,2023-06-22 14:28:23,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
9406,mc_44.86_13.77_1.1_20230611_0,deepextremes-minicubes/1.1/mc_44.86_13.77_1.1_20230611_0.zarr,44.86_13.77,1.1,"POLYGON ((44.84487853431067 13.756261225445867, 44.8690114951239 13.756261225445867, 44.8690114951239 13.779849799290567, 44.84487853431067 13.779849799290567, 44.84487853431067 13.756261225445867))",2023-06-08 13:14:11,2023-06-23 02:50:11,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
9456,mc_46.36_42.47_1.1_20230611_0,deepextremes-minicubes/1.1/mc_46.36_42.47_1.1_20230611_0.zarr,46.36_42.47,1.1,"POLYGON ((46.34571392854111 42.45562512880394, 46.37929159752064 42.45562512880394, 46.37929159752064 42.48048465696602, 46.34571392854111 42.48048465696602, 46.34571392854111 42.45562512880394))",2023-06-08 13:55:19,2023-06-23 04:14:13,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
9503,mc_54.36_50.21_1.1_20230611_0,deepextremes-minicubes/1.1/mc_54.36_50.21_1.1_20230611_0.zarr,54.36_50.21,1.1,"POLYGON ((54.34378710088279 50.20048784337927, 54.381221472120174 50.20048784337927, 54.381221472120174 50.224509788400766, 54.34378710088279 50.224509788400766, 54.34378710088279 50.20048784337927))",2023-06-08 14:59:41,2023-06-24 06:33:21,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
9574,mc_60.73_60.33_1.1_20230611_0,deepextremes-minicubes/1.1/mc_60.73_60.33_1.1_20230611_0.zarr,60.73_60.33,1.1,"POLYGON ((60.70473294179679 60.31982467765163, 60.75361655186204 60.31982467765163, 60.75361655186204 60.34406075673566, 60.70473294179679 60.34406075673566, 60.70473294179679 60.31982467765163))",2023-06-08 15:50:35,2023-06-24 08:33:36,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
9735,mc_70.35_40.85_1.1_20230611_0,deepextremes-minicubes/1.1/mc_70.35_40.85_1.1_20230611_0.zarr,70.35_40.85,1.1,"POLYGON ((70.33506141621211 40.833431873459894, 70.36772145296803 40.833431873459894, 70.36772145296803 40.858233563943244, 70.33506141621211 40.858233563943244, 70.33506141621211 40.833431873459894))",2023-06-08 17:50:42,2023-06-24 13:39:10,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
9775,mc_77.03_13.64_1.1_20230611_0,deepextremes-minicubes/1.1/mc_77.03_13.64_1.1_20230611_0.zarr,77.03_13.64,1.1,"POLYGON ((77.01705939641542 13.628436610843005, 77.04127504488456 13.628436610843005, 77.04127504488456 13.652119045390728, 77.01705939641542 13.652119045390728, 77.01705939641542 13.628436610843005))",2023-06-08 18:20:43,2023-06-24 14:52:42,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
9904,mc_81.47_30.35_1.1_20230611_0,deepextremes-minicubes/1.1/mc_81.47_30.35_1.1_20230611_0.zarr,81.47_30.35,1.1,"POLYGON ((81.45962047137303 30.339253474153917, 81.48760480009658 30.339253474153917, 81.48760480009658 30.36352354106856, 81.45962047137303 30.36352354106856, 81.45962047137303 30.339253474153917))",2023-06-08 19:57:35,2023-06-24 18:43:43,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
10162,mc_90.35_29.48_1.1_20230611_0,deepextremes-minicubes/1.1/mc_90.35_29.48_1.1_20230611_0.zarr,90.35_29.48,1.1,"POLYGON ((90.33227516456184 29.467301719768788, 90.35939447614297 29.467301719768788, 90.35939447614297 29.491030597159355, 90.33227516456184 29.491030597159355, 90.33227516456184 29.467301719768788))",2023-06-08 23:12:45,2023-06-25 02:03:00,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
10192,mc_90.97_25.23_1.1_20230611_0,deepextremes-minicubes/1.1/mc_90.97_25.23_1.1_20230611_0.zarr,90.97_25.23,1.1,"POLYGON ((90.95778144449618 25.22007127339202, 90.98388760237441 25.22007127339202, 90.98388760237441 25.243816863607286, 90.95778144449618 25.243816863607286, 90.95778144449618 25.22007127339202))",2023-06-08 23:35:16,2023-06-25 02:46:13,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
10239,mc_91.90_25.61_1.1_20230611_0,deepextremes-minicubes/1.1/mc_91.90_25.61_1.1_20230611_0.zarr,91.90_25.61,1.1,"POLYGON ((91.89099578808872 25.595000676148878, 91.91733996110989 25.595000676148878, 91.91733996110989 25.618887528425336, 91.89099578808872 25.618887528425336, 91.89099578808872 25.595000676148878))",2023-06-09 00:10:31,2023-06-25 04:13:54,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
