,mc_id,path,location_id,version,geometry,creation_date,modification_date,events,s2_l2_bands,era5,cci_landcover_map,copernicus_dem,de_africa_climatology,event_arrays,s2cloudless_cloudmask,sen2cor_cloudmask,unetmobv2_cloudmask,earthnet_cloudmask,remarks
3119,mc_104.00_11.50_1.1_20230602_0,deepextremes-minicubes/1.1/mc_104.00_11.50_1.1_20230602_0.zarr,104.00_11.50,1.1,"POLYGON ((103.98671555568265 11.486878368477324, 104.01050761057033 11.486878368477324, 104.01050761057033 11.510343789296575, 103.98671555568265 11.510343789296575, 103.98671555568265 11.486878368477324))",2023-05-30 13:34:20,2023-06-05 06:06:18,"[(2459, '2016-04-09T00:00:00.0', '2016-04-19T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
3236,mc_123.75_50.75_1.1_20230602_0,deepextremes-minicubes/1.1/mc_123.75_50.75_1.1_20230602_0.zarr,123.75_50.75,1.1,"POLYGON ((123.72894532602692 50.73890930933802, 123.76828555014812 50.73890930933802, 123.76828555014812 50.76386648599566, 123.72894532602692 50.76386648599566, 123.72894532602692 50.73890930933802))",2023-05-27 01:26:15,2023-06-05 09:14:22,"[(28748, '2020-07-09T00:00:00.0', '2020-07-15T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
3589,mc_98.25_16.25_1.1_20230602_0,deepextremes-minicubes/1.1/mc_98.25_16.25_1.1_20230602_0.zarr,98.25_16.25,1.1,"POLYGON ((98.23637722123829 16.236792138378245, 98.26084637894806 16.236792138378245, 98.26084637894806 16.260429842306493, 98.23637722123829 16.260429842306493, 98.23637722123829 16.236792138378245))",2023-06-05 19:50:34,2023-06-05 19:50:34,"[(27391, '2020-04-19T00:00:00.0', '2020-04-26T00:00:00.0')]",1.3,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
3699,mc_-90.59_75.45_1.1_20230605_0,deepextremes-minicubes/1.1/mc_-90.59_75.45_1.1_20230605_0.zarr,-90.59_75.45,1.1,"POLYGON ((-90.64462012947519 75.432858329149, -90.54142363871415 75.432858329149, -90.54142363871415 75.4588021347643, -90.64462012947519 75.4588021347643, -90.64462012947519 75.432858329149))",2023-06-05 22:52:45,2023-06-05 22:52:45,"[(nan, nan, nan)]",1.3,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
3927,mc_-112.00_39.25_1.1_20230602_0,deepextremes-minicubes/1.1/mc_-112.00_39.25_1.1_20230602_0.zarr,-112.00_39.25,1.1,"POLYGON ((-112.01698243060612 39.23926224945918, -111.98579056052607 39.23926224945918, -111.98579056052607 39.2635141418022, -112.01698243060612 39.2635141418022, -112.01698243060612 39.23926224945918))",2023-05-11 17:14:31,2023-06-06 08:22:24,"[(31677, '2020-09-03T00:00:00.0', '2020-09-08T00:00:00.0')]",1.1,1.0,2.0,2.0,-1.0,2.0,1.1,1.0,-1.0,1.0,
4055,mc_-1.25_31.75_1.1_20230602_0,deepextremes-minicubes/1.1/mc_-1.25_31.75_1.1_20230602_0.zarr,-1.25_31.75,1.1,"POLYGON ((-1.265736899198469 31.736348869618364, -1.2370376457864323 31.736348869618364, -1.2370376457864323 31.760872644962106, -1.265736899198469 31.760872644962106, -1.265736899198469 31.736348869618364))",2023-04-23 04:46:31,2023-06-06 11:34:03,"[(30750, '2020-08-16T00:00:00.0', '2020-08-23T00:00:00.0')]",1.0,1.0,2.0,2.0,1.0,2.0,1.0,-1.0,-1.0,1.0,
4096,mc_-111.75_37.75_1.1_20230602_0,deepextremes-minicubes/1.1/mc_-111.75_37.75_1.1_20230602_0.zarr,-111.75_37.75,1.1,"POLYGON ((-111.76666886266314 37.73647586299087, -111.73610447928208 37.73647586299087, -111.73610447928208 37.760745086935906, -111.76666886266314 37.760745086935906, -111.76666886266314 37.73647586299087))",2023-05-15 05:06:33,2023-06-06 12:35:08,"[(31677, '2020-09-03T00:00:00.0', '2020-09-08T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
4333,mc_-59.25_-24.50_1.1_20230602_0,deepextremes-minicubes/1.1/mc_-59.25_-24.50_1.1_20230602_0.zarr,-59.25_-24.50,1.1,"POLYGON ((-59.264337246047866 -24.51323769111261, -59.23843824077081 -24.51323769111261, -59.23843824077081 -24.48953934879917, -59.264337246047866 -24.48953934879917, -59.264337246047866 -24.51323769111261))",2023-05-17 05:50:53,2023-06-06 20:17:31,"[(23916, '2020-03-06T00:00:00.0', '2020-03-17T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
4422,mc_-76.50_7.00_1.1_20230602_0,deepextremes-minicubes/1.1/mc_-76.50_7.00_1.1_20230602_0.zarr,-76.50_7.00,1.1,"POLYGON ((-76.51305223859387 6.986957560839735, -76.48972497500425 6.986957560839735, -76.48972497500425 7.010264740656275, -76.51305223859387 7.010264740656275, -76.51305223859387 6.986957560839735))",2023-05-26 13:57:49,2023-06-06 22:46:31,"[(625, '2016-02-27T00:00:00.0', '2016-04-11T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
4448,mc_-89.00_18.00_1.1_20230602_0,deepextremes-minicubes/1.1/mc_-89.00_18.00_1.1_20230602_0.zarr,-89.00_18.00,1.1,"POLYGON ((-89.01371008828845 17.986820468494642, -88.98906612799267 17.986820468494642, -88.98906612799267 18.010401329877613, -89.01371008828845 18.010401329877613, -89.01371008828845 17.986820468494642))",2023-05-30 10:45:09,2023-06-06 23:35:28,"[(23285, '2020-03-01T00:00:00.0', '2020-04-28T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
4485,mc_101.50_27.00_1.1_20230602_0,deepextremes-minicubes/1.1/mc_101.50_27.00_1.1_20230602_0.zarr,101.50_27.00,1.1,"POLYGON ((101.48498796817253 26.986406366042225, 101.5122367763083 26.986406366042225, 101.5122367763083 27.010815438232644, 101.48498796817253 27.010815438232644, 101.48498796817253 26.986406366042225))",2023-05-30 12:32:09,2023-06-07 00:48:06,"[(19175, '2019-05-05T00:00:00.0', '2019-05-23T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
4488,mc_101.75_56.75_1.1_20230602_0,deepextremes-minicubes/1.1/mc_101.75_56.75_1.1_20230602_0.zarr,101.75_56.75,1.1,"POLYGON ((101.7252670714973 56.738559578395865, 101.77196734872199 56.738559578395865, 101.77196734872199 56.764215947867285, 101.7252670714973 56.764215947867285, 101.7252670714973 56.738559578395865))",2023-05-19 15:06:51,2023-06-07 00:50:31,"[(13641, '2018-06-24T00:00:00.0', '2018-06-29T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
4646,mc_146.75_-32.25_1.1_20230602_0,deepextremes-minicubes/1.1/mc_146.75_-32.25_1.1_20230602_0.zarr,146.75_-32.25,1.1,"POLYGON ((146.73436693926303 -32.26071702940751, 146.76285865301722 -32.26071702940751, 146.76285865301722 -32.23650426657119, 146.73436693926303 -32.23650426657119, 146.73436693926303 -32.26071702940751))",2023-06-01 18:59:42,2023-06-07 05:27:57,"[(12275, '2018-01-06T00:00:00.0', '2018-01-12T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
4788,mc_41.25_59.00_1.1_20230602_0,deepextremes-minicubes/1.1/mc_41.25_59.00_1.1_20230602_0.zarr,41.25_59.00,1.1,"POLYGON ((41.22382858327049 58.98859768670491, 41.273407880670504 58.98859768670491, 41.273407880670504 59.01417752489621, 41.22382858327049 59.01417752489621, 41.22382858327049 58.98859768670491))",2023-05-07 04:11:43,2023-06-07 10:08:39,"[(36605, '2021-06-19T00:00:00.0', '2021-06-28T00:00:00.0')]",1.0,1.0,2.0,2.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,
4868,mc_55.00_38.00_1.1_20230606_0,deepextremes-minicubes/1.1/mc_55.00_38.00_1.1_20230606_0.zarr,55.00_38.00,1.1,"POLYGON ((54.98344432426417 37.986606776440894, 55.01378242102072 37.986606776440894, 55.01378242102072 38.010614028972356, 54.98344432426417 38.010614028972356, 54.98344432426417 37.986606776440894))",2023-06-06 12:59:29,2023-06-07 12:31:01,"[(14309, '2018-07-14T00:00:00.0', '2018-07-24T00:00:00.0')]",1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
5079,mc_-89.99_75.07_1.1_20230606_0,deepextremes-minicubes/1.1/mc_-89.99_75.07_1.1_20230606_0.zarr,-89.99_75.07,1.1,"POLYGON ((-90.03694343657855 75.05601336427358, -89.94354569007047 75.05601336427358, -89.94354569007047 75.08009006040993, -90.03694343657855 75.08009006040993, -90.03694343657855 75.05601336427358))",2023-06-06 09:25:02,2023-06-07 21:26:08,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
5099,mc_101.00_18.50_1.1_20230602_0,deepextremes-minicubes/1.1/mc_101.00_18.50_1.1_20230602_0.zarr,101.00_18.50,1.1,"POLYGON ((100.9860694551908 18.48664458141786, 101.01115433238567 18.48664458141786, 101.01115433238567 18.510577540904375, 100.9860694551908 18.510577540904375, 100.9860694551908 18.48664458141786))",2023-05-19 01:10:41,2023-06-07 22:06:29,"[(2459, '2016-04-09T00:00:00.0', '2016-04-19T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
5118,mc_110.00_62.75_1.1_20230602_0,deepextremes-minicubes/1.1/mc_110.00_62.75_1.1_20230602_0.zarr,110.00_62.75,1.1,"POLYGON ((109.97171767825084 62.73905206942236, 110.02552373278809 62.73905206942236, 110.02552373278809 62.76372209929694, 109.97171767825084 62.76372209929694, 109.97171767825084 62.73905206942236))",2023-05-19 22:18:05,2023-06-07 22:38:43,"[(3312, '2016-06-25T00:00:00.0', '2016-07-02T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
5134,mc_121.00_52.25_1.1_20230602_0,deepextremes-minicubes/1.1/mc_121.00_52.25_1.1_20230602_0.zarr,121.00_52.25,1.1,"POLYGON ((120.97887738144374 52.2392732376564, 121.01835445018995 52.2392732376564, 121.01835445018995 52.26350206718056, 120.97887738144374 52.26350206718056, 120.97887738144374 52.2392732376564))",2023-05-27 00:37:15,2023-06-07 23:13:00,"[(28748, '2020-07-09T00:00:00.0', '2020-07-15T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
5177,mc_140.25_-26.50_1.1_20230606_0,deepextremes-minicubes/1.1/mc_140.25_-26.50_1.1_20230606_0.zarr,140.25_-26.50,1.1,"POLYGON ((140.23529741848043 -26.510591240655057, 140.26192733034407 -26.510591240655057, 140.26192733034407 -26.48663028729234, 140.23529741848043 -26.48663028729234, 140.23529741848043 -26.510591240655057))",2023-06-06 10:24:29,2023-06-08 00:23:06,"[(12364, '2018-01-20T00:00:00.0', '2018-01-28T00:00:00.0')]",1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
5199,mc_15.00_-15.25_1.1_20230602_0,deepextremes-minicubes/1.1/mc_15.00_-15.25_1.1_20230602_0.zarr,15.00_-15.25,1.1,"POLYGON ((14.986429509907609 -15.263215742330768, 15.010793988544346 -15.263215742330768, 15.010793988544346 -15.239561899521439, 14.986429509907609 -15.239561899521439, 14.986429509907609 -15.263215742330768))",2023-05-01 12:02:26,2023-06-08 01:04:32,"[(16709, '2018-10-15T00:00:00.0', '2018-10-21T00:00:00.0')]",1.0,1.0,2.0,2.0,1.0,2.0,1.0,-1.0,-1.0,1.0,
5243,mc_29.47_68.33_1.1_20230606_0,deepextremes-minicubes/1.1/mc_29.47_68.33_1.1_20230606_0.zarr,29.47_68.33,1.1,"POLYGON ((29.43587928175092 68.3134603187345, 29.505817314448315 68.3134603187345, 29.505817314448315 68.33931348666216, 29.43587928175092 68.33931348666216, 29.43587928175092 68.3134603187345))",2023-06-06 12:20:22,2023-06-08 02:47:03,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
5244,mc_32.25_62.50_1.1_20230602_0,deepextremes-minicubes/1.1/mc_32.25_62.50_1.1_20230602_0.zarr,32.25_62.50,1.1,"POLYGON ((32.22186117355963 62.48901386464712, 32.275379844967475 62.48901386464712, 32.275379844967475 62.513760387375214, 32.22186117355963 62.513760387375214, 32.22186117355963 62.48901386464712))",2023-05-04 22:43:33,2023-06-08 02:53:18,"[(36605, '2021-06-19T00:00:00.0', '2021-06-28T00:00:00.0')]",1.0,1.0,2.0,2.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,
5363,mc_73.25_66.25_1.1_20230602_0,deepextremes-minicubes/1.1/mc_73.25_66.25_1.1_20230602_0.zarr,73.25_66.25,1.1,"POLYGON ((73.21828793303153 66.23915629047512, 73.27895992538403 66.23915629047512, 73.27895992538403 66.2636170910145, 73.21828793303153 66.2636170910145, 73.21828793303153 66.23915629047512))",2023-05-31 10:44:05,2023-06-08 06:26:09,"[(9596, '2017-07-12T00:00:00.0', '2017-07-31T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
5399,mc_-58.00_-18.00_1.1_20230602_0,deepextremes-minicubes/1.1/mc_-58.00_-18.00_1.1_20230602_0.zarr,-58.00_-18.00,1.1,"POLYGON ((-58.013758699701185 -18.013225472498167, -57.98901752490666 -18.013225472498167, -57.98901752490666 -17.9895519677068, -58.013758699701185 -17.9895519677068, -58.013758699701185 -18.013225472498167))",2023-05-12 10:44:49,2023-06-08 07:58:46,"[(31833, '2020-09-30T00:00:00.0', '2020-10-15T00:00:00.0')]",1.1,1.0,2.0,2.0,-1.0,2.0,1.1,1.0,-1.0,1.0,
5425,mc_-72.50_81.25_1.1_20230602_0,deepextremes-minicubes/1.1/mc_-72.50_81.25_1.1_20230602_0.zarr,-72.50_81.25,1.1,"POLYGON ((-72.58683177021662 81.23558968500804, -72.41575865018605 81.23558968500804, -72.41575865018605 81.26162203825784, -72.58683177021662 81.26162203825784, -72.58683177021662 81.23558968500804))",2023-05-18 01:45:41,2023-06-08 08:41:43,"[(20675, '2019-07-23T00:00:00.0', '2019-08-17T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
5484,mc_137.50_-26.50_1.1_20230602_0,deepextremes-minicubes/1.1/mc_137.50_-26.50_1.1_20230602_0.zarr,137.50_-26.50,1.1,"POLYGON ((137.48506221379523 -26.51080299028214, 137.5121624657933 -26.51080299028214, 137.5121624657933 -26.486418836087136, 137.48506221379523 -26.486418836087136, 137.48506221379523 -26.51080299028214))",2023-05-25 13:05:34,2023-06-08 10:35:57,"[(12542, '2018-02-11T00:00:00.0', '2018-02-21T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
5703,mc_26.49_68.20_1.1_20230606_0,deepextremes-minicubes/1.1/mc_26.49_68.20_1.1_20230606_0.zarr,26.49_68.20,1.1,"POLYGON ((26.459580186640352 68.18893848691285, 26.526561278003776 68.18893848691285, 26.526561278003776 68.21383471250255, 26.459580186640352 68.21383471250255, 26.459580186640352 68.18893848691285))",2023-06-06 11:49:56,2023-06-09 09:51:08,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
5727,mc_44.25_30.25_1.1_20230602_0,deepextremes-minicubes/1.1/mc_44.25_30.25_1.1_20230602_0.zarr,44.25_30.25,1.1,"POLYGON ((44.234750784654906 30.2365759183995, 44.262474498173376 30.2365759183995, 44.262474498173376 30.26064542947631, 44.234750784654906 30.26064542947631, 44.234750784654906 30.2365759183995))",2023-05-05 02:20:38,2023-06-09 10:36:21,"[(15793, '2018-09-01T00:00:00.0', '2018-09-07T00:00:00.0')]",1.0,1.0,2.0,2.0,-1.0,2.0,1.0,-1.0,-1.0,1.0,
5849,mc_55.50_38.25_1.1_20230606_0,deepextremes-minicubes/1.1/mc_55.50_38.25_1.1_20230606_0.zarr,55.50_38.25,1.1,"POLYGON ((55.483319071328125 38.239327618553475, 55.51390771900329 38.239327618553475, 55.51390771900329 38.26344877956354, 55.483319071328125 38.26344877956354, 55.483319071328125 38.239327618553475))",2023-06-06 13:08:05,2023-06-09 16:33:12,"[(14309, '2018-07-14T00:00:00.0', '2018-07-24T00:00:00.0')]",1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
5975,mc_-118.08_53.46_1.1_20230611_0,deepextremes-minicubes/1.1/mc_-118.08_53.46_1.1_20230611_0.zarr,-118.08_53.46,1.1,"POLYGON ((-118.10247601058484 53.450243061598606, -118.06140260653041 53.450243061598606, -118.06140260653041 53.47475447249781, -118.10247601058484 53.47475447249781, -118.10247601058484 53.450243061598606))",2023-06-06 17:45:26,2023-06-13 05:20:13,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
6155,mc_-147.82_61.58_1.1_20230611_0,deepextremes-minicubes/1.1/mc_-147.82_61.58_1.1_20230611_0.zarr,-147.82_61.58,1.1,"POLYGON ((-147.8411948008098 61.5695857916505, -147.78934320272003 61.5695857916505, -147.78934320272003 61.594299700820926, -147.8411948008098 61.594299700820926, -147.8411948008098 61.5695857916505))",2023-06-06 20:15:49,2023-06-14 19:35:21,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
6166,mc_-148.46_62.08_1.1_20230611_0,deepextremes-minicubes/1.1/mc_-148.46_62.08_1.1_20230611_0.zarr,-148.46_62.08,1.1,"POLYGON ((-148.48862844826624 62.066907835728415, -148.4363532672865 62.066907835728415, -148.4363532672865 62.09142191538216, -148.48862844826624 62.09142191538216, -148.48862844826624 62.066907835728415))",2023-06-06 20:23:50,2023-06-14 19:56:58,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
6242,mc_-152.45_63.20_1.1_20230611_0,deepextremes-minicubes/1.1/mc_-152.45_63.20_1.1_20230611_0.zarr,-152.45_63.20,1.1,"POLYGON ((-152.47369802956547 63.1915815663865, -152.4179489846372 63.1915815663865, -152.4179489846372 63.216748359553364, -152.47369802956547 63.216748359553364, -152.47369802956547 63.1915815663865))",2023-06-06 21:20:57,2023-06-14 22:25:26,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
6336,mc_-38.36_-9.99_1.1_20230611_0,deepextremes-minicubes/1.1/mc_-38.36_-9.99_1.1_20230611_0.zarr,-38.36_-9.99,1.1,"POLYGON ((-38.3715564017613 -10.004786842245766, -38.34788723855931 -10.004786842245766, -38.34788723855931 -9.981324402003528, -38.3715564017613 -9.981324402003528, -38.3715564017613 -10.004786842245766))",2023-06-06 22:31:53,2023-06-15 01:28:25,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
6955,mc_-74.85_2.62_1.1_20230611_0,deepextremes-minicubes/1.1/mc_-74.85_2.62_1.1_20230611_0.zarr,-74.85_2.62,1.1,"POLYGON ((-74.86011568566255 2.6092635928174124, -74.83710632977836 2.6092635928174124, -74.83710632977836 2.6324034657476316, -74.86011568566255 2.6324034657476316, -74.86011568566255 2.6092635928174124))",2023-06-07 06:25:47,2023-06-16 06:41:24,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
6974,mc_-75.28_-13.37_1.1_20230611_0,deepextremes-minicubes/1.1/mc_-75.28_-13.37_1.1_20230611_0.zarr,-75.28_-13.37,1.1,"POLYGON ((-75.28842290646378 -13.379838698608086, -75.26435376594179 -13.379838698608086, -75.26435376594179 -13.356272331460172, -75.28842290646378 -13.356272331460172, -75.28842290646378 -13.379838698608086))",2023-06-07 06:39:45,2023-06-16 07:38:42,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
7022,mc_-76.22_-10.12_1.1_20230611_0,deepextremes-minicubes/1.1/mc_-76.22_-10.12_1.1_20230611_0.zarr,-76.22_-10.12,1.1,"POLYGON ((-76.23264660620141 -10.129761460963405, -76.2090192349963 -10.129761460963405, -76.2090192349963 -10.106349624406102, -76.23264660620141 -10.106349624406102, -76.23264660620141 -10.129761460963405))",2023-06-07 07:16:26,2023-06-16 10:11:14,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
7089,mc_-79.35_-5.50_1.1_20230611_0,deepextremes-minicubes/1.1/mc_-79.35_-5.50_1.1_20230611_0.zarr,-79.35_-5.50,1.1,"POLYGON ((-79.35743282334008 -5.5102347404756555, -79.33423341251566 -5.5102347404756555, -79.33423341251566 -5.4869878780711145, -79.35743282334008 -5.4869878780711145, -79.35743282334008 -5.5102347404756555))",2023-06-07 08:06:32,2023-06-16 13:41:49,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
7191,mc_-98.22_20.48_1.1_20230611_0,deepextremes-minicubes/1.1/mc_-98.22_20.48_1.1_20230611_0.zarr,-98.22_20.48,1.1,"POLYGON ((-98.22797246180538 20.47275896267414, -98.20258130464862 20.47275896267414, -98.20258130464862 20.496685193230835, -98.22797246180538 20.496685193230835, -98.22797246180538 20.47275896267414))",2023-06-07 09:21:20,2023-06-17 11:41:20,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
7336,mc_100.63_1.62_1.1_20230611_0,deepextremes-minicubes/1.1/mc_100.63_1.62_1.1_20230611_0.zarr,100.63_1.62,1.1,"POLYGON ((100.61494053045907 1.6120904974148789, 100.6378373736779 1.6120904974148789, 100.6378373736779 1.6351322747645476, 100.61494053045907 1.6351322747645476, 100.61494053045907 1.6120904974148789))",2023-06-07 11:10:24,2023-06-17 19:00:21,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
7413,mc_103.59_29.10_1.1_20230611_0,deepextremes-minicubes/1.1/mc_103.59_29.10_1.1_20230611_0.zarr,103.59_29.10,1.1,"POLYGON ((103.57665460508268 29.092200643518524, 103.6039038509962 29.092200643518524, 103.6039038509962 29.116131809465635, 103.57665460508268 29.116131809465635, 103.57665460508268 29.092200643518524))",2023-06-07 12:07:13,2023-06-17 22:53:53,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
7456,mc_104.26_20.68_1.1_20230611_0,deepextremes-minicubes/1.1/mc_104.26_20.68_1.1_20230611_0.zarr,104.26_20.68,1.1,"POLYGON ((104.24708667685861 20.672830381696993, 104.27235959879235 20.672830381696993, 104.27235959879235 20.69661363177287, 104.24708667685861 20.69661363177287, 104.24708667685861 20.672830381696993))",2023-06-07 13:09:15,2023-06-18 01:05:04,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
7461,mc_104.29_19.60_1.1_20230611_0,deepextremes-minicubes/1.1/mc_104.29_19.60_1.1_20230611_0.zarr,104.29_19.60,1.1,"POLYGON ((104.27774702915012 19.59229068453677, 104.30281024172075 19.59229068453677, 104.30281024172075 19.61604226749926, 104.27774702915012 19.61604226749926, 104.27774702915012 19.59229068453677))",2023-06-07 13:12:48,2023-06-18 01:23:46,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
7494,mc_104.47_22.36_1.1_20230611_0,deepextremes-minicubes/1.1/mc_104.47_22.36_1.1_20230611_0.zarr,104.47_22.36,1.1,"POLYGON ((104.45245323682897 22.345014348241065, 104.4781043335966 22.345014348241065, 104.4781043335966 22.368874054251297, 104.45245323682897 22.368874054251297, 104.45245323682897 22.345014348241065))",2023-06-07 13:37:46,2023-06-18 03:02:40,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
7597,mc_107.13_11.49_1.1_20230611_0,deepextremes-minicubes/1.1/mc_107.13_11.49_1.1_20230611_0.zarr,107.13_11.49,1.1,"POLYGON ((107.11999618850554 11.478492847149292, 107.14389361989747 11.478492847149292, 107.14389361989747 11.502062903904491, 107.11999618850554 11.502062903904491, 107.11999618850554 11.478492847149292))",2023-06-07 14:54:29,2023-06-18 08:20:00,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
7625,mc_108.09_31.60_1.1_20230611_0,deepextremes-minicubes/1.1/mc_108.09_31.60_1.1_20230611_0.zarr,108.09_31.60,1.1,"POLYGON ((108.07364715175248 31.589530546186776, 108.10135615921706 31.589530546186776, 108.10135615921706 31.613246080994138, 108.07364715175248 31.613246080994138, 108.07364715175248 31.589530546186776))",2023-06-07 15:15:33,2023-06-18 09:46:21,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
7627,mc_108.10_32.10_1.1_20230611_0,deepextremes-minicubes/1.1/mc_108.10_32.10_1.1_20230611_0.zarr,108.10_32.10,1.1,"POLYGON ((108.08467668032112 32.08952578795405, 108.11254893599424 32.08952578795405, 108.11254893599424 32.113250813800136, 108.08467668032112 32.113250813800136, 108.08467668032112 32.08952578795405))",2023-06-07 15:17:01,2023-06-18 09:50:27,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
7788,mc_120.94_14.34_1.1_20230611_0,deepextremes-minicubes/1.1/mc_120.94_14.34_1.1_20230611_0.zarr,120.94_14.34,1.1,"POLYGON ((120.92823384558615 14.331312496530646, 120.95232291698166 14.331312496530646, 120.95232291698166 14.354798342333632, 120.92823384558615 14.354798342333632, 120.92823384558615 14.331312496530646))",2023-06-07 17:20:51,2023-06-18 18:15:24,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
7962,mc_14.50_8.74_1.1_20230611_0,deepextremes-minicubes/1.1/mc_14.50_8.74_1.1_20230611_0.zarr,14.50_8.74,1.1,"POLYGON ((14.484080730809273 8.731362735939886, 14.507586641249183 8.731362735939886, 14.507586641249183 8.754748464996634, 14.484080730809273 8.754748464996634, 14.484080730809273 8.731362735939886))",2023-06-07 19:32:00,2023-06-19 03:18:55,[],1.3,1.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,
